cell,n,ttft_med_ms,ttft_min,ttft_max,load_med_ms,prompt_eval_med_ms,prompt_tokens_med,first_kind
CONTROL@A-pre,3,1068.1,1065.8,1071.5,225.9,769.9,3873,thinking
A2_identical,6,275.1,272.1,351.1,229.4,31.2,3873.0,thinking
A4_end_mutated,5,474.1,472.6,483.3,228.8,233.2,3877,thinking
A2b_identical_again,3,282.2,266.2,475.3,227.0,35.6,3873,thinking
A3_start_mutated,5,1063.8,1050.3,1097.8,225.6,762.6,3873,thinking
CONTROL@A-post,3,336.1,329.4,352.8,222.8,32.7,3873,thinking
CTL_fresh,3,1095.7,1073.4,1331.7,229.7,765.4,3873,thinking
slot_fill,6,1064.9,1058.7,1072.5,228.5,762.9,3873.0,thinking
slot_revisit,6,333.0,332.4,360.3,225.4,33.7,3873.0,thinking
CONTROL@B-pre,6,1062.9,1054.2,1266.5,225.5,762.6,3873.0,thinking
B_syslen_0,10,292.6,285.8,343.2,224.7,42.8,31.0,thinking
B_syslen_3900,6,473.8,461.8,621.4,224.6,211.3,998.0,thinking
B_syslen_15500,5,1064.4,1042.8,1124.7,228.2,781.8,3989,thinking
B_syslen_23200,5,1463.1,1427.8,1513.6,226.4,1164.8,5891,thinking
B_syslen_46400,5,2660.3,2658.0,2660.9,224.4,2301.1,11839,thinking
CONTROL@B-post,3,1086.1,1063.0,1142.4,224.7,764.4,3873,thinking
CONTROL@C-pre,3,1076.6,1061.7,1254.5,227.6,762.3,3873,thinking
C1_fresh_conn_nodelay_2writes,6,278.9,253.6,353.6,228.0,37.7,15.0,thinking
C2_fresh_conn_NAGLE_2writes,6,266.2,258.7,282.3,224.4,36.8,15.0,thinking
C3_fresh_conn_single_write,6,257.6,256.1,276.4,223.9,31.3,15.0,thinking
C4_keepalive_reused,6,267.5,253.7,362.2,225.2,33.8,15.0,thinking
CONTROL@C-post,3,1071.5,1049.2,1089.3,227.1,759.4,3873,thinking
CONTROL@G-pre,3,1063.8,1038.7,1204.7,225.0,765.0,3873,thinking
G_mem_stable,10,434.0,407.7,1150.2,280.0,128.3,5997.5,thinking
G_mem_changes,60,1362.0,1031.2,1879.4,254.5,1101.8,6065.0,thinking
CONTROL@G-post,3,1065.2,1050.7,1069.6,228.2,767.9,3873,thinking
CONTROL@G2-pre,3,1078.0,1056.4,1191.0,231.6,786.1,3873,thinking
G2_mem_after_history,60,1005.1,528.8,1521.0,247.0,699.5,6069.0,thinking
CONTROL@G2-post,3,1051.2,1048.4,1073.1,232.4,762.7,3873,thinking
CONTROL@H-pre,3,1070.9,1056.4,1280.8,230.5,770.7,3873,thinking
CONTROL@H-mid,3,1012.4,1005.9,1018.5,223.3,727.0,3873,thinking
H_think_True,5,1162.0,1102.5,1312.7,230.1,874.9,3873,thinking
H_think_False,5,1016.8,1006.9,1122.2,225.7,737.7,3875,content
H_npredict_16,1,995.9,995.9,995.9,218.2,722.4,3873,thinking
O1_full_options_marlowe_shape,6,277.6,261.1,441.6,228.6,43.2,15.0,thinking
CONTROL@I-pre,3,965.3,937.9,1020.9,243.2,649.9,3873,thinking
CONTROL@I-post,3,1042.1,984.6,1071.6,295.0,655.2,3873,thinking
CONTROL@J-pre,3,1023.3,1009.1,1362.2,286.5,653.6,3873,thinking
J_num_ctx_32768,13,478.3,454.1,521.4,271.7,181.2,998,thinking
J_num_ctx_8192,6,485.8,452.7,525.6,283.5,179.4,998.0,thinking
J_num_ctx_4096,6,512.1,442.5,523.1,298.4,182.4,998.0,thinking
J_npredict_16,12,474.0,429.9,755.2,,,,thinking
J_npredict_512,6,481.7,445.6,507.6,,,,thinking
J_npredict_8192,6,518.7,457.3,538.7,,,,thinking
CONTROL@J-post,3,975.7,971.6,997.8,257.4,647.8,3873,thinking
